year,state,candidate,party_simplified,candidatevotes,rank
2000,MISSISSIPPI,,OTHER,8735,3.0
2000,MISSISSIPPI,"PHILLIPS, HOWARD",OTHER,3267,4.0
2000,MISSISSIPPI,"BUCHANAN, PATRICK """"PAT""""",OTHER,2265,5.0
2000,MISSISSIPPI,"BROWNE, HARRY",LIBERTARIAN,2009,6.0
2000,MISSISSIPPI,"HAGELIN, JOHN",OTHER,450,7.0
2004,MISSISSIPPI,"BUSH, GEORGE W.",REPUBLICAN,672660,1.0
2004,MISSISSIPPI,"KERRY, JOHN",DEMOCRAT,457766,2.0
2004,MISSISSIPPI,"NADER, RALPH",OTHER,3175,3.0
2004,MISSISSIPPI,"BADNARIK, MICHAEL",LIBERTARIAN,1793,4.0
2004,MISSISSIPPI,"PEROUTKA, MICHAEL",OTHER,1758,5.0
2004,MISSISSIPPI,"CALERO, ROGER",OTHER,1599,6.0
2004,MISSISSIPPI,"COBB, DAVID",OTHER,1073,7.0
2008,MISSISSIPPI,"MCCAIN, JOHN",REPUBLICAN,724597,1.0
2008,MISSISSIPPI,"OBAMA, BARACK H.",DEMOCRAT,554662,2.0
2008,MISSISSIPPI,"NADER, RALPH",OTHER,4011,3.0
2008,MISSISSIPPI,"BALDWIN, CHARLES """"CHUCK""""",OTHER,2551,4.0
2008,MISSISSIPPI,"BARR, BOB",LIBERTARIAN,2529,5.0
2008,MISSISSIPPI,"MCKINNEY, CYNTHIA",OTHER,1034,6.0
2008,MISSISSIPPI,"WEILL, TED",OTHER,481,7.0
2012,MISSISSIPPI,"ROMNEY, MITT",REPUBLICAN,710746,1.0
2012,MISSISSIPPI,"OBAMA, BARACK H.",DEMOCRAT,562949,2.0
2012,MISSISSIPPI,"JOHNSON, GARY",LIBERTARIAN,6676,3.0
2012,MISSISSIPPI,"GOODE, VIRGIL HAMLIN, JR.",OTHER,2609,4.0
2012,MISSISSIPPI,"STEIN, JILL",OTHER,1588,5.0
2012,MISSISSIPPI,"WASHER, BARBARA DALE",OTHER,1016,6.0
2016,MISSISSIPPI,"TRUMP, DONALD J.",REPUBLICAN,700714,1.0
2016,MISSISSIPPI,"CLINTON, HILLARY",DEMOCRAT,485131,2.0
2016,MISSISSIPPI,"JOHNSON, GARY",LIBERTARIAN,14435,3.0
2016,MISSISSIPPI,"CASTLE, DARRELL L.",OTHER,3987,4.0
2016,MISSISSIPPI,"STEIN, JILL",OTHER,3731,5.0
2016,MISSISSIPPI,"HEDGES, JAMES",OTHER,715,6.0
2016,MISSISSIPPI,"DE LA FUENTE, ROQUE """"ROCKY""""",OTHER,644,7.0
2020,MISSISSIPPI,"TRUMP, DONALD J.",REPUBLICAN,756764,1.0
2020,MISSISSIPPI,"BIDEN, JOSEPH R. JR",DEMOCRAT,539398,2.0
2020,MISSISSIPPI,"JORGENSEN, JO",LIBERTARIAN,8026,3.0
2020,MISSISSIPPI,"WEST, KANYE",OTHER,3657,4.0
2020,MISSISSIPPI,"HAWKINS, HOWIE",OTHER,1498,5.0
2020,MISSISSIPPI,"COLLINS, PHIL",OTHER,1317,6.0
2020,MISSISSIPPI,"BLANKENSHIP, DON",OTHER,1279,7.0
2020,MISSISSIPPI,"CARROLL, BRIAN",OTHER,1161,8.0
2020,MISSISSIPPI,"PIERCE, BROCK",OTHER,659,9.0
1976,MISSOURI,"CARTER, JIMMY",DEMOCRAT,998387,1.0
1976,MISSOURI,"FORD, GERALD",REPUBLICAN,927443,2.0
1976,MISSOURI,"MCCARTHY, EUGENE """"GENE""""",OTHER,24029,3.0
1976,MISSOURI,OTHER,OTHER,3741,4.0
1980,MISSOURI,"REAGAN, RONALD",REPUBLICAN,1074181,1.0
1980,MISSOURI,"CARTER, JIMMY",DEMOCRAT,931182,2.0
1980,MISSOURI,"ANDERSON, JOHN B.",OTHER,77920,3.0
1980,MISSOURI,"CLARK, EDWARD """"ED""""",LIBERTARIAN,14422,4.0
1980,MISSOURI,"DEBERRY, CLIFTON",OTHER,1515,5.0
1980,MISSOURI,,OTHER,604,6.0
1984,MISSOURI,"REAGAN, RONALD",REPUBLICAN,1274188,1.0
1984,MISSOURI,"MONDALE, WALTER",DEMOCRAT,848583,2.0
1988,MISSOURI,"BUSH, GEORGE H.W.",REPUBLICAN,1084953,1.0
1988,MISSOURI,"DUKAKIS, MICHAEL",DEMOCRAT,1001619,2.0
1988,MISSOURI,"FULANI, LENORA",OTHER,6656,3.0
1992,MISSOURI,"CLINTON, BILL",DEMOCRAT,1053873,1.0
1992,MISSOURI,"BUSH, GEORGE H.W.",REPUBLICAN,811159,2.0
1992,MISSOURI,"PEROT, ROSS",OTHER,518741,3.0
1992,MISSOURI,"MARROU, ANDRE",LIBERTARIAN,7497,4.0
1996,MISSOURI,"CLINTON, BILL",DEMOCRAT,1025935,1.0
1996,MISSOURI,"DOLE, ROBERT",REPUBLICAN,890016,2.0
1996,MISSOURI,"PEROT, ROSS",OTHER,217188,3.0
1996,MISSOURI,"PHILLIPS, HOWARD",OTHER,11521,4.0
1996,MISSOURI,"BROWNE, HARRY",LIBERTARIAN,10522,5.0
1996,MISSOURI,"HAGELIN, JOHN",OTHER,2287,6.0
1996,MISSOURI,,OTHER,596,7.0
2000,MISSOURI,"BUSH, GEORGE W.",REPUBLICAN,1189924,1.0
2000,MISSOURI,"GORE, AL",DEMOCRAT,1111138,2.0
2000,MISSOURI,"NADER, RALPH",OTHER,38515,3.0
2000,MISSOURI,"BUCHANAN, PATRICK """"PAT""""",OTHER,9818,4.0
2000,MISSOURI,"BROWNE, HARRY",LIBERTARIAN,7436,5.0
2000,MISSOURI,"PHILLIPS, HOWARD",OTHER,1957,6.0
2000,MISSOURI,"HAGELIN, JOHN",OTHER,1104,7.0
2004,MISSOURI,"BUSH, GEORGE W.",REPUBLICAN,1455713,1.0
2004,MISSOURI,"KERRY, JOHN",DEMOCRAT,1259171,2.0
2004,MISSOURI,"BADNARIK, MICHAEL",LIBERTARIAN,9831,3.0
2004,MISSOURI,"PEROUTKA, MICHAEL",OTHER,5355,4.0
2004,MISSOURI,"NADER, RALPH",OTHER,1294,5.0
2008,MISSOURI,"MCCAIN, JOHN",REPUBLICAN,1445814,1.0
2008,MISSOURI,"OBAMA, BARACK H.",DEMOCRAT,1441911,2.0
2008,MISSOURI,"NADER, RALPH",OTHER,17813,3.0
2008,MISSOURI,"BARR, BOB",LIBERTARIAN,11386,4.0
2008,MISSOURI,"BALDWIN, CHARLES """"CHUCK""""",OTHER,8201,5.0
2008,MISSOURI,"MCKINNEY, CYNTHIA",OTHER,80,6.0
2012,MISSOURI,"ROMNEY, MITT",REPUBLICAN,1482440,1.0
2012,MISSOURI,"OBAMA, BARACK H.",DEMOCRAT,1223796,2.0
2012,MISSOURI,"JOHNSON, GARY",LIBERTARIAN,43151,3.0
2012,MISSOURI,"GOODE, VIRGIL HAMLIN, JR.",OTHER,7936,4.0
2016,MISSOURI,"TRUMP, DONALD J.",REPUBLICAN,1594511,1.0
2016,MISSOURI,"CLINTON, HILLARY",DEMOCRAT,1071068,2.0
2016,MISSOURI,"JOHNSON, GARY",LIBERTARIAN,97359,3.0
2016,MISSOURI,"STEIN, JILL",OTHER,25419,4.0
2016,MISSOURI,"CASTLE, DARRELL L.",OTHER,13092,5.0
2016,MISSOURI,,OTHER,7156,6.0
2020,MISSOURI,"TRUMP, DONALD J.",REPUBLICAN,1718736,1.0
2020,MISSOURI,"BIDEN, JOSEPH R. JR",DEMOCRAT,1253014,2.0
2020,MISSOURI,"JORGENSEN, JO",LIBERTARIAN,41205,3.0
2020,MISSOURI,"HAWKINS, HOWIE",OTHER,8283,4.0
2020,MISSOURI,"BLANKENSHIP, DON",OTHER,3919,5.0
2020,MISSOURI,"CARROLL, BRIAN",OTHER,664,6.0
2020,MISSOURI,"SIMMONS, JADE",OTHER,74,7.0
2020,MISSOURI,"LA RIVA, GLORIA ESTELLA",OTHER,64,8.0
2020,MISSOURI,"WELLS, KASEY",OTHER,3,9.0
2020,MISSOURI,,OTHER,0,10.0
1976,MONTANA,"FORD, GERALD",REPUBLICAN,173703,1.0
1976,MONTANA,"CARTER, JIMMY",DEMOCRAT,149259,2.0
1976,MONTANA,"ANDERSON, THOMAS J.",OTHER,5772,3.0
1980,MONTANA,"REAGAN, RONALD",REPUBLICAN,206814,1.0
1980,MONTANA,"CARTER, JIMMY",DEMOCRAT,118032,2.0
1980,MONTANA,"ANDERSON, JOHN B.",OTHER,29281,3.0
1980,MONTANA,"CLARK, EDWARD """"ED""""",LIBERTARIAN,9825,4.0
1984,MONTANA,"REAGAN, RONALD",REPUBLICAN,232450,1.0
1984,MONTANA,"MONDALE, WALTER",DEMOCRAT,146742,2.0
1984,MONTANA,"BERGLAND, DAVID",LIBERTARIAN,5185,3.0
1988,MONTANA,"BUSH, GEORGE H.W.",REPUBLICAN,190412,1.0
1988,MONTANA,"DUKAKIS, MICHAEL",DEMOCRAT,168936,2.0
1988,MONTANA,"PAUL, RONALD """"RON""""",LIBERTARIAN,5047,3.0
1988,MONTANA,"FULANI, LENORA",OTHER,1279,4.0
1992,MONTANA,"CLINTON, BILL",DEMOCRAT,154507,1.0
1992,MONTANA,"BUSH, GEORGE H.W.",REPUBLICAN,144207,2.0
1992,MONTANA,"PEROT, ROSS",OTHER,107225,3.0
1992,MONTANA,OTHER,OTHER,3658,4.0
1992,MONTANA,"MARROU, ANDRE",LIBERTARIAN,986,5.0
1996,MONTANA,"DOLE, ROBERT",REPUBLICAN,179652,1.0
1996,MONTANA,"CLINTON, BILL",DEMOCRAT,167922,2.0
1996,MONTANA,"PEROT, ROSS",OTHER,55229,3.0
1996,MONTANA,"BROWNE, HARRY",LIBERTARIAN,2526,4.0
1996,MONTANA,"HAGELIN, JOHN",OTHER,1754,5.0
2000,MONTANA,"BUSH, GEORGE W.",REPUBLICAN,240178,1.0
2000,MONTANA,"GORE, AL",DEMOCRAT,137126,2.0
2000,MONTANA,"NADER, RALPH",OTHER,24437,3.0
2000,MONTANA,"BUCHANAN, PATRICK """"PAT""""",OTHER,5697,4.0
2000,MONTANA,"BROWNE, HARRY",LIBERTARIAN,1718,5.0
2000,MONTANA,"PHILLIPS, HOWARD",OTHER,1155,6.0
2000,MONTANA,"HAGELIN, JOHN",OTHER,675,7.0
2004,MONTANA,"BUSH, GEORGE W.",REPUBLICAN,266063,1.0
2004,MONTANA,"KERRY, JOHN",DEMOCRAT,173710,2.0
2004,MONTANA,"NADER, RALPH",OTHER,6168,3.0
2004,MONTANA,"PEROUTKA, MICHAEL",OTHER,1764,4.0
2004,MONTANA,"BADNARIK, MICHAEL",LIBERTARIAN,1733,5.0
2004,MONTANA,"COBB, DAVID",OTHER,996,6.0
2008,MONTANA,"MCCAIN, JOHN",REPUBLICAN,242763,1.0
2008,MONTANA,"OBAMA, BARACK H.",DEMOCRAT,231667,2.0
2008,MONTANA,"PAUL, RONALD """"RON""""",OTHER,10638,3.0
2008,MONTANA,"NADER, RALPH",OTHER,3686,4.0
2008,MONTANA,"BARR, BOB",LIBERTARIAN,1355,5.0
2012,MONTANA,"ROMNEY, MITT",REPUBLICAN,267928,1.0
2012,MONTANA,"OBAMA, BARACK H.",DEMOCRAT,201839,2.0
2012,MONTANA,"JOHNSON, GARY",LIBERTARIAN,14165,3.0
2012,MONTANA,,OTHER,116,4.0
2016,MONTANA,"TRUMP, DONALD J.",REPUBLICAN,279240,1.0
2016,MONTANA,"CLINTON, HILLARY",DEMOCRAT,177709,2.0
2016,MONTANA,"JOHNSON, GARY",LIBERTARIAN,28037,3.0
2016,MONTANA,"STEIN, JILL",OTHER,7970,4.0
2016,MONTANA,"DE LA FUENTE, ROQUE """"ROCKY""""",OTHER,1570,5.0
2020,MONTANA,"TRUMP, DONALD J.",REPUBLICAN,343602,1.0
2020,MONTANA,"BIDEN, JOSEPH R. JR",DEMOCRAT,244786,2.0
2020,MONTANA,"JORGENSEN, JO",LIBERTARIAN,15252,3.0
2020,MONTANA,"CHARLES, MARK",OTHER,23,4.0
2020,MONTANA,"SIMMONS, JADE",OTHER,6,5.0
2020,MONTANA,"HOEFLING, TOM",OTHER,3,6.0
2020,MONTANA,"BELLAR, BARBARA",OTHER,2,7.0
1976,NEBRASKA,"FORD, GERALD",REPUBLICAN,359219,1.0
1976,NEBRASKA,"CARTER, JIMMY",DEMOCRAT,233293,2.0
1976,NEBRASKA,"MCCARTHY, EUGENE """"GENE""""",OTHER,9383,3.0
1976,NEBRASKA,"MADDOX, LESTER",OTHER,3378,4.0
1976,NEBRASKA,"MACBRIDE, ROGER",LIBERTARIAN,1476,5.0
1980,NEBRASKA,"REAGAN, RONALD",REPUBLICAN,419214,1.0
1980,NEBRASKA,"CARTER, JIMMY",DEMOCRAT,166424,2.0
1980,NEBRASKA,"ANDERSON, JOHN B.",OTHER,44854,3.0
1980,NEBRASKA,"CLARK, EDWARD """"ED""""",LIBERTARIAN,9041,4.0
1984,NEBRASKA,"REAGAN, RONALD",REPUBLICAN,460054,1.0
1984,NEBRASKA,"MONDALE, WALTER",DEMOCRAT,187866,2.0
1984,NEBRASKA,"BERGLAND, DAVID",LIBERTARIAN,2079,3.0
1984,NEBRASKA,"MASON, MELVIN",OTHER,1066,4.0
1984,NEBRASKA,"SERRETTE, DENNIS",OTHER,1025,5.0
1988,NEBRASKA,"BUSH, GEORGE H.W.",REPUBLICAN,397956,1.0
1988,NEBRASKA,"DUKAKIS, MICHAEL",DEMOCRAT,259235,2.0
1988,NEBRASKA,"PAUL, RONALD """"RON""""",LIBERTARIAN,2534,3.0
1988,NEBRASKA,"FULANI, LENORA",OTHER,1740,4.0
1992,NEBRASKA,"BUSH, GEORGE H.W.",REPUBLICAN,343678,1.0
1992,NEBRASKA,"CLINTON, BILL",DEMOCRAT,216864,2.0
1992,NEBRASKA,"PEROT, ROSS",OTHER,174104,3.0
1992,NEBRASKA,OTHER,OTHER,1560,4.0
1992,NEBRASKA,"MARROU, ANDRE",LIBERTARIAN,1340,5.0
1996,NEBRASKA,"DOLE, ROBERT",REPUBLICAN,363467,1.0
1996,NEBRASKA,"CLINTON, BILL",DEMOCRAT,236761,2.0
1996,NEBRASKA,"PEROT, ROSS",OTHER,71278,3.0
1996,NEBRASKA,"BROWNE, HARRY",LIBERTARIAN,2792,4.0
1996,NEBRASKA,"PHILLIPS, HOWARD",OTHER,1928,5.0
1996,NEBRASKA,"HAGELIN, JOHN",OTHER,1189,6.0
2000,NEBRASKA,"BUSH, GEORGE W.",REPUBLICAN,433862,1.0
2000,NEBRASKA,"GORE, AL",DEMOCRAT,231780,2.0
2000,NEBRASKA,"NADER, RALPH",OTHER,24540,3.0
2000,NEBRASKA,,OTHER,4114,4.0
2000,NEBRASKA,"BROWNE, HARRY",LIBERTARIAN,2245,5.0
2000,NEBRASKA,,OTHER,478,6.0
2004,NEBRASKA,"BUSH, GEORGE W.",REPUBLICAN,512814,1.0
2004,NEBRASKA,"KERRY, JOHN",DEMOCRAT,254328,2.0
2004,NEBRASKA,"NADER, RALPH",OTHER,5780,3.0
2004,NEBRASKA,"BADNARIK, MICHAEL",LIBERTARIAN,2041,4.0
2004,NEBRASKA,OTHER,OTHER,1314,5.0
2004,NEBRASKA,"COBB, DAVID",OTHER,978,6.0
2004,NEBRASKA,OTHER,OTHER,931,7.0
2008,NEBRASKA,"MCCAIN, JOHN",REPUBLICAN,452979,1.0
2008,NEBRASKA,"OBAMA, BARACK H.",DEMOCRAT,333319,2.0
2008,NEBRASKA,"NADER, RALPH",OTHER,5406,3.0
2008,NEBRASKA,"BALDWIN, CHARLES """"CHUCK""""",OTHER,2972,4.0
2008,NEBRASKA,,OTHER,2837,5.0
2008,NEBRASKA,"BARR, BOB",LIBERTARIAN,2740,6.0
2008,NEBRASKA,"MCKINNEY, CYNTHIA",OTHER,1028,7.0
2012,NEBRASKA,"ROMNEY, MITT",REPUBLICAN,475064,1.0
2012,NEBRASKA,"OBAMA, BARACK H.",DEMOCRAT,302081,2.0
2012,NEBRASKA,"JOHNSON, GARY",LIBERTARIAN,11109,3.0
2012,NEBRASKA,,OTHER,3717,4.0
2012,NEBRASKA,,OTHER,2408,5.0
2016,NEBRASKA,"TRUMP, DONALD J.",REPUBLICAN,495961,1.0
2016,NEBRASKA,"CLINTON, HILLARY",DEMOCRAT,284494,2.0
2016,NEBRASKA,"JOHNSON, GARY",LIBERTARIAN,38946,3.0
2016,NEBRASKA,,OTHER,16051,4.0
2016,NEBRASKA,"STEIN, JILL",OTHER,8775,5.0
2020,NEBRASKA,"TRUMP, DONALD J.",REPUBLICAN,556846,1.0
2020,NEBRASKA,"BIDEN, JOSEPH R. JR",DEMOCRAT,374583,2.0
2020,NEBRASKA,"JORGENSEN, JO",LIBERTARIAN,20283,3.0
2020,NEBRASKA,,OTHER,4671,4.0
1976,NEVADA,"FORD, GERALD",REPUBLICAN,101273,1.0
1976,NEVADA,"CARTER, JIMMY",DEMOCRAT,92479,2.0
1976,NEVADA,OTHER,OTHER,5108,3.0
1976,NEVADA,"MACBRIDE, ROGER",LIBERTARIAN,1519,4.0
1976,NEVADA,"MADDOX, LESTER",OTHER,1497,5.0
1980,NEVADA,"REAGAN, RONALD",REPUBLICAN,155017,1.0
1980,NEVADA,"CARTER, JIMMY",DEMOCRAT,66666,2.0
1980,NEVADA,"ANDERSON, JOHN B.",OTHER,17651,3.0
1980,NEVADA,"CLARK, EDWARD """"ED""""",LIBERTARIAN,4358,4.0
1984,NEVADA,"REAGAN, RONALD",REPUBLICAN,188770,1.0
1984,NEVADA,"MONDALE, WALTER",DEMOCRAT,91655,2.0
1984,NEVADA,"BERGLAND, DAVID",LIBERTARIAN,2292,3.0
1988,NEVADA,"BUSH, GEORGE H.W.",REPUBLICAN,206040,1.0
1988,NEVADA,"DUKAKIS, MICHAEL",DEMOCRAT,132738,2.0
1988,NEVADA,"PAUL, RONALD """"RON""""",LIBERTARIAN,3520,3.0
1988,NEVADA,"FULANI, LENORA",OTHER,835,4.0
1992,NEVADA,"CLINTON, BILL",DEMOCRAT,189148,1.0
1992,NEVADA,"BUSH, GEORGE H.W.",REPUBLICAN,175828,2.0
1992,NEVADA,"PEROT, ROSS",OTHER,132580,3.0
1992,NEVADA,"GRITZ, JAMES """"BO""""",OTHER,2892,4.0
1992,NEVADA,OTHER,OTHER,2537,5.0
1992,NEVADA,"MARROU, ANDRE",LIBERTARIAN,1835,6.0
1992,NEVADA,"PHILLIPS, HOWARD",OTHER,677,7.0
1992,NEVADA,"FULANI, LENORA",OTHER,483,8.0
1992,NEVADA,"HAGELIN, JOHN",OTHER,338,9.0
1996,NEVADA,"CLINTON, BILL",DEMOCRAT,203974,1.0
1996,NEVADA,"DOLE, ROBERT",REPUBLICAN,199244,2.0
1996,NEVADA,"PEROT, ROSS",OTHER,43986,3.0
1996,NEVADA,NONE OF THE ABOVE,OTHER,5608,4.0
1996,NEVADA,"NADER, RALPH",OTHER,4730,5.0
1996,NEVADA,"BROWNE, HARRY",LIBERTARIAN,4460,6.0
1996,NEVADA,"PHILLIPS, HOWARD",OTHER,1732,7.0
1996,NEVADA,"HAGELIN, JOHN",OTHER,545,8.0
2000,NEVADA,"BUSH, GEORGE W.",REPUBLICAN,301575,1.0
2000,NEVADA,"GORE, AL",DEMOCRAT,279978,2.0
2000,NEVADA,"NADER, RALPH",OTHER,15008,3.0
2000,NEVADA,"BUCHANAN, PATRICK """"PAT""""",OTHER,4747,4.0
2000,NEVADA,NONE OF THESE CANDIDATES,OTHER,3315,5.0
2000,NEVADA,"BROWNE, HARRY",LIBERTARIAN,3311,6.0
2000,NEVADA,"PHILLIPS, HOWARD",OTHER,621,7.0
2000,NEVADA,"HAGELIN, JOHN",OTHER,415,8.0
2000,NEVADA,BLANK VOTE,OTHER,282,9.0
2000,NEVADA,OVER VOTE,OTHER,174,10.0
2004,NEVADA,"BUSH, GEORGE W.",REPUBLICAN,418690,1.0
2004,NEVADA,"KERRY, JOHN",DEMOCRAT,397190,2.0
2004,NEVADA,"NADER, RALPH",OTHER,4838,3.0
2004,NEVADA,OTHER,OTHER,3688,4.0
2004,NEVADA,"BADNARIK, MICHAEL",LIBERTARIAN,3176,5.0
2004,NEVADA,"PEROUTKA, MICHAEL",OTHER,1152,6.0
2004,NEVADA,"COBB, DAVID",OTHER,853,7.0
2008,NEVADA,"OBAMA, BARACK H.",DEMOCRAT,533736,1.0
2008,NEVADA,"MCCAIN, JOHN",REPUBLICAN,412827,2.0
2008,NEVADA,NONE OF THESE CANDIDATES,OTHER,6267,3.0
2008,NEVADA,"NADER, RALPH",OTHER,6150,4.0
2008,NEVADA,"BARR, BOB",LIBERTARIAN,4263,5.0
2008,NEVADA,"BALDWIN, CHARLES """"CHUCK""""",OTHER,3194,6.0
2008,NEVADA,"MCKINNEY, CYNTHIA",OTHER,1411,7.0
2012,NEVADA,"OBAMA, BARACK H.",DEMOCRAT,531373,1.0
2012,NEVADA,"ROMNEY, MITT",REPUBLICAN,463567,2.0
2012,NEVADA,"JOHNSON, GARY",LIBERTARIAN,10968,3.0
2012,NEVADA,NONE OF THESE CANDIDATES,OTHER,5770,4.0
2012,NEVADA,"GOODE, VIRGIL HAMLIN, JR.",OTHER,3240,5.0
2016,NEVADA,"CLINTON, HILLARY",DEMOCRAT,539260,1.0
2016,NEVADA,"TRUMP, DONALD J.",REPUBLICAN,512058,2.0
2016,NEVADA,"JOHNSON, GARY",LIBERTARIAN,37384,3.0
2016,NEVADA,NONE OF THE ABOVE,OTHER,28863,4.0
2016,NEVADA,"KOPITKE, KYLE KENLEY",OTHER,5268,5.0
2016,NEVADA,"DE LA FUENTE, ROQUE """"ROCKY""""",OTHER,2552,6.0
2020,NEVADA,"BIDEN, JOSEPH R. JR",DEMOCRAT,703486,1.0
2020,NEVADA,"TRUMP, DONALD J.",REPUBLICAN,669890,2.0
2020,NEVADA,"JORGENSEN, JO",LIBERTARIAN,14783,3.0
2020,NEVADA,,OTHER,14079,4.0
2020,NEVADA,"BLANKENSHIP, DON",OTHER,3138,5.0
1976,NEW HAMPSHIRE,"FORD, GERALD",REPUBLICAN,185935,1.0
1976,NEW HAMPSHIRE,"CARTER, JIMMY",DEMOCRAT,147645,2.0
1976,NEW HAMPSHIRE,"MCCARTHY, EUGENE """"GENE""""",OTHER,4095,3.0
1976,NEW HAMPSHIRE,"MACBRIDE, ROGER",LIBERTARIAN,936,4.0
1976,NEW HAMPSHIRE,SCATTERING,OTHER,603,5.0
1976,NEW HAMPSHIRE,"LAROUCHE, LYNDON, JR.",OTHER,186,6.0
1976,NEW HAMPSHIRE,"CAMEJO, PETER",OTHER,161,7.0
1976,NEW HAMPSHIRE,"JULIUS """"JULES"""", LEVIN",OTHER,66,8.0
1980,NEW HAMPSHIRE,"REAGAN, RONALD",REPUBLICAN,221705,1.0
1980,NEW HAMPSHIRE,"CARTER, JIMMY",DEMOCRAT,108864,2.0
1980,NEW HAMPSHIRE,"ANDERSON, JOHN B.",OTHER,49693,3.0
1980,NEW HAMPSHIRE,"CLARK, EDWARD """"ED""""",LIBERTARIAN,2064,4.0
1980,NEW HAMPSHIRE,"COMMONER, BARRY",OTHER,1320,5.0
1980,NEW HAMPSHIRE,"HALL, GUS",OTHER,129,6.0
1980,NEW HAMPSHIRE,"GRISWOLD, DEIRDRE",OTHER,76,7.0
1980,NEW HAMPSHIRE,"DEBERRY, CLIFTON",OTHER,71,8.0
1980,NEW HAMPSHIRE,,OTHER,68,9.0
1984,NEW HAMPSHIRE,"REAGAN, RONALD",REPUBLICAN,267050,1.0
1984,NEW HAMPSHIRE,"MONDALE, WALTER",DEMOCRAT,120347,2.0
1984,NEW HAMPSHIRE,"BERGLAND, DAVID",LIBERTARIAN,735,3.0
1984,NEW HAMPSHIRE,"LAROUCHE, LYNDON, JR.",OTHER,467,4.0
1984,NEW HAMPSHIRE,"SERRETTE, DENNIS",OTHER,305,5.0
1988,NEW HAMPSHIRE,"BUSH, GEORGE H.W.",REPUBLICAN,281537,1.0
1988,NEW HAMPSHIRE,"DUKAKIS, MICHAEL",DEMOCRAT,163696,2.0
1988,NEW HAMPSHIRE,"PAUL, RONALD """"RON""""",LIBERTARIAN,4502,3.0
1988,NEW HAMPSHIRE,"FULANI, LENORA",OTHER,790,4.0
1992,NEW HAMPSHIRE,"CLINTON, BILL",DEMOCRAT,209040,1.0
1992,NEW HAMPSHIRE,"BUSH, GEORGE H.W.",REPUBLICAN,202484,2.0
1992,NEW HAMPSHIRE,"PEROT, ROSS",OTHER,121337,3.0
1992,NEW HAMPSHIRE,"MARROU, ANDRE",LIBERTARIAN,3548,4.0
1992,NEW HAMPSHIRE,"FULANI, LENORA",OTHER,512,5.0
1992,NEW HAMPSHIRE,"HAGELIN, JOHN",OTHER,294,6.0
1996,NEW HAMPSHIRE,"CLINTON, BILL",DEMOCRAT,246166,1.0
1996,NEW HAMPSHIRE,"DOLE, ROBERT",REPUBLICAN,196486,2.0
1996,NEW HAMPSHIRE,"PEROT, ROSS",OTHER,48387,3.0
1996,NEW HAMPSHIRE,"BROWNE, HARRY",LIBERTARIAN,4214,4.0
1996,NEW HAMPSHIRE,"PHILLIPS, HOWARD",OTHER,1344,5.0
2000,NEW HAMPSHIRE,"BUSH, GEORGE W.",REPUBLICAN,273559,1.0
2000,NEW HAMPSHIRE,"GORE, AL",DEMOCRAT,266348,2.0
2000,NEW HAMPSHIRE,"NADER, RALPH",OTHER,22198,3.0
2000,NEW HAMPSHIRE,"BROWNE, HARRY",LIBERTARIAN,2757,4.0
2000,NEW HAMPSHIRE,"BUCHANAN, PATRICK """"PAT""""",OTHER,2615,5.0
2000,NEW HAMPSHIRE,,OTHER,1276,6.0
2000,NEW HAMPSHIRE,,OTHER,328,7.0
2004,NEW HAMPSHIRE,"KERRY, JOHN",DEMOCRAT,340511,1.0
2004,NEW HAMPSHIRE,"BUSH, GEORGE W.",REPUBLICAN,331237,2.0
2004,NEW HAMPSHIRE,"NADER, RALPH",OTHER,4479,3.0
2004,NEW HAMPSHIRE,OTHER,OTHER,1095,4.0
2004,NEW HAMPSHIRE,OTHER,OTHER,965,5.0
2008,NEW HAMPSHIRE,"OBAMA, BARACK H.",DEMOCRAT,384826,1.0
2008,NEW HAMPSHIRE,"MCCAIN, JOHN",REPUBLICAN,316534,2.0
2008,NEW HAMPSHIRE,"NADER, RALPH",OTHER,3503,3.0
2008,NEW HAMPSHIRE,,OTHER,3359,4.0
2008,NEW HAMPSHIRE,"BARR, BOB",LIBERTARIAN,2748,5.0
2012,NEW HAMPSHIRE,"OBAMA, BARACK H.",DEMOCRAT,369561,1.0
2012,NEW HAMPSHIRE,"ROMNEY, MITT",REPUBLICAN,329918,2.0
2012,NEW HAMPSHIRE,"JOHNSON, GARY",LIBERTARIAN,8212,3.0
2012,NEW HAMPSHIRE,,OTHER,1698,4.0
2012,NEW HAMPSHIRE,SCATTERING,OTHER,875,5.0
2012,NEW HAMPSHIRE,"GOODE, VIRGIL HAMLIN, JR.",OTHER,708,6.0
2016,NEW HAMPSHIRE,"CLINTON, HILLARY",DEMOCRAT,348526,1.0
2016,NEW HAMPSHIRE,"TRUMP, DONALD J.",REPUBLICAN,345790,2.0
2016,NEW HAMPSHIRE,"JOHNSON, GARY",LIBERTARIAN,30777,3.0
2016,NEW HAMPSHIRE,,OTHER,9618,4.0
2016,NEW HAMPSHIRE,"STEIN, JILL",OTHER,6496,5.0
2016,NEW HAMPSHIRE,SCATTERING,OTHER,2411,6.0
2016,NEW HAMPSHIRE,"DE LA FUENTE, ROQUE """"ROCKY""""",OTHER,678,7.0
2020,NEW HAMPSHIRE,"BIDEN, JOSEPH R. JR",DEMOCRAT,424921,1.0
2020,NEW HAMPSHIRE,"TRUMP, DONALD J.",REPUBLICAN,365654,2.0
